MAVIENCHUC,MADANHHIEU,MATONGIAO,MAHOCHAM,MATRINHDO,MADANTOC,MAHANGTHUONGBINH,MAXAPHUONG,XAP_MAXAPHUONG,HO,TENLOT,TEN,TENKHAC,NGAYSINH,GIOITINH,NGAYTUYENDUNG,SOHIEUVIENCHUC,ANHDAIDIEN,SOCCCD,NOICAPCCCD,NGAYCAPCCCD,SOBAOHIEM,NHOMMAU,NAMDUOCPHONGHOCHAM,NAMDUOCPHONGDANHHIEU,ROLE
VCKT000001,DH003,TG001,,TD003,DT001,,XP008,XP008,Nguyễn,Kiến,Quốc,Anh Quốc,1985-05-03 0:00:00,Nam,2010-10-23 0:00:00,SH00001,,01234578999,Cục Cảnh sát QLHC về trật tự xã hội,2021-05-22 0:00:00,BH00000001,O,,2018-08-29 0:00:00,admin
VCHR000001,,TG001,,TD002,DT001,,XP010,XP010,Trần,Thị,Bình,,1990-10-22 0:00:00,Nữ,2015-03-16 0:00:00,SH00002,,01234578998,Cục Cảnh sát QLHC về trật tự xã hội,2021-06-15 0:00:00,BH00000002,AB,,,hr
VCTT000001,,TG002,,TD002,DT008,,XP008,XP008,Nguyễn,Kim,Anh,,1984-07-08 0:00:00,Nam,2010-08-18 0:00:00,SH00014,,01234578913,Cục Cảnh sát QLHC về trật tự xã hội,2024-11-11 0:00:00,BH00000025,A,,,thanhtra
VC00000001,DH001,TG002,HH001,TD003,DT001,,XP008,XP008,Nguyễn,Phi,Nguyên,,1972-01-17 0:00:00,Nam,1997-02-26 0:00:00,SH00013,,01234578972,Cục Cảnh sát QLHC về trật tự xã hội,2013-10-05 0:00:00,BH00000014,A,2022-11-20 0:00:00,2023-05-19 0:00:00,vienchuc
VC00000002,DH002,TG003,HH002,TD003,DT005,,XP010,XP010,Thạch,Sa,Ly,,1975-03-25 0:00:00,Nữ,1999-02-26 0:00:00,SH00025,,01234578975,Cục Cảnh sát QLHC về trật tự xã hội,2012-11-25 0:00:00,BH00000024,B,2020-11-20 0:00:00,2024-06-22 0:00:00,vienchuc
VC00000003,,TG001,,TD002,DT001,,XP009,XP009,Lưu,Nguyễn Phi,Long,,1990-12-20 0:00:00,Nam,2015-06-07 0:00:00,SH00015,,01234578990,Cục Cảnh sát QLHC về trật tự xã hội,2017-02-11 0:00:00,BH00000015,A,,,vienchuc
VC00000004,,TG001,,TD001,DT001,TB004,XP009,XP009,Trần,Ngọc,Thành,Anh Sáu,1971-04-30 0:00:00,Nam,2010-10-23 0:00:00,SH00010,,01234578973,Cục Cảnh sát QLHC về trật tự xã hội,2013-11-02 0:00:00,BH00000017,O,,,vienchuc
VC00000005,,TG002,,TD001,DT005,,XP006,XP006,Sơn,Sô,Ma Li,,2000-03-17 0:00:00,Nữ,2025-03-24 0:00:00,SH00022,,01234578900,Cục Cảnh sát QLHC về trật tự xã hội,2025-03-22 0:00:00,BH00000011,A,,,vienchuc
VC00000006,DH005,TG001,HH001,TD003,DT001,,XP003,XP003,Nguyễn,Văn,Minh,,1972-05-18 0:00:00,Nam,1997-07-09 0:00:00,SH00032,,01234578911,Cục Cảnh sát QLHC về trật tự xã hội,2013-03-29 0:00:00,BH00000022,B,2022-11-20 0:00:00,2023-05-19 0:00:00,vienchuc
VC00000007,DH006,TG001,,TD003,DT001,,XP006,XP006,Lê,Quốc,Anh,,1975-11-27 0:00:00,Nam,1999-08-14 0:00:00,SH00037,,01234578922,Cục Cảnh sát QLHC về trật tự xã hội,2012-04-22 0:00:00,BH00000033,B,,2024-06-22 0:00:00,vienchuc
VC00000008,,TG001,,TD002,DT001,,XP008,XP008,Nguyễn,Anh,Quốc,,1991-07-08 0:00:00,Nam,2014-06-29 0:00:00,SH00021,,01234578933,Cục Cảnh sát QLHC về trật tự xã hội,2017-11-11 0:00:00,BH00000025,O,,,vienchuc
