MAVIENCHUC,MATOCHUCDTCTXH,NGAYVAOTOCHUC,NGAYCHINHTHUC,NGUOIGIOITHIEU,LANVAOTOCHUC
VCKT000001,DT001,2010-10-23,2011-10-23,Nguyễn Văn Hùng,1
VCHR000001,DT001,2015-03-16,2016-03-16,Trần Thị Lan,1
VCTT000001,DT001,2010-08-17,2011-08-17,Lê Minh Tuấn,1
VC00000001,DT001,1997-02-26,1998-02-26,Phạm Thị Hồng,1
VC00000002,DT001,1999-02-26,2000-02-26,Hoàng Quốc Dũng,1
VC00000003,DT001,2015-06-07,2016-06-07,Đỗ Thị Mai,1
VC00000004,DT001,2010-10-23,2011-10-23,Vũ Anh Khoa,1
VC00000005,DT002,2025-03-24,2025-09-24,Bùi Thị Ngọc,1
VC00000006,DT001,1997-07-09,1998-07-09,Trương Văn Sơn,1
VC00000007,DT001,1999-08-14,2000-08-14,Ngô Thị Thanh,1
VC00000008,DT001,2014-06-29,2015-06-29,Lý Văn Phúc,1
